Submission ID,Respondent ID,Submitted at,What is your age?,What is your ZIP code?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,Where do you typically drink coffee? (At home),Where do you typically drink coffee? (At the office),Where do you typically drink coffee? (On the go),Where do you typically drink coffee? (At a cafe),Where do you typically drink coffee? (None of these),How do you brew coffee at home?,How do you brew coffee at home? (Pour over),How do you brew coffee at home? (French press),How do you brew coffee at home? (Espresso),How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee)),How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso)),How do you brew coffee at home? (Instant coffee),How do you brew coffee at home? (Bean-to-cup machine),How do you brew coffee at home? (Cold brew),How do you brew coffee at home? (Coffee extract (e.g. Cometeer)),How do you brew coffee at home? (Other),How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?","On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin))","On the go, where do you typically purchase coffee? (Local cafe)","On the go, where do you typically purchase coffee? (Drive-thru)","On the go, where do you typically purchase coffee? (Specialty coffee shop)","On the go, where do you typically purchase coffee? (Deli or supermarket)","On the go, where do you typically purchase coffee? (Other)",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,Do you usually add anything to your coffee? (No - just black),"Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer)",Do you usually add anything to your coffee? (Sugar or sweetener),Do you usually add anything to your coffee? (Flavor syrup),Do you usually add anything to your coffee? (Other),What else do you add to your coffee?,What kind of dairy do you add?,What kind of dairy do you add? (Whole milk),What kind of dairy do you add? (Skim milk),What kind of dairy do you add? (Half and half),What kind of dairy do you add? (Coffee creamer),What kind of dairy do you add? (Flavored coffee creamer),What kind of dairy do you add? (Oat milk),What kind of dairy do you add? (Almond milk),What kind of dairy do you add? (Soy milk),What kind of dairy do you add? (Other),What kind of sugar or sweetener do you add?,What kind of sugar or sweetener do you add? (Granulated Sugar),"What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda))",What kind of sugar or sweetener do you add? (Honey),What kind of sugar or sweetener do you add? (Maple Syrup),What kind of sugar or sweetener do you add? (Stevia),What kind of sugar or sweetener do you add? (Agave Nectar),What kind of sugar or sweetener do you add? (Brown Sugar),What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado)),What kind of flavorings do you add?,What kind of flavorings do you add? (Vanilla Syrup),What kind of flavorings do you add? (Caramel Syrup),What kind of flavorings do you add? (Hazelnut Syrup),What kind of flavorings do you add? (Cinnamon (Ground or Stick)),What kind of flavorings do you add? (Peppermint Syrup),What kind of flavorings do you add? (Other),What other flavoring do you use?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee A - Notes,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee B - Notes,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee C - Notes,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,Coffee D - Notes,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Why do you drink coffee? (It tastes good),Why do you drink coffee? (I need the caffeine),Why do you drink coffee? (I need the ritual),Why do you drink coffee? (It makes me go to the bathroom),Why do you drink coffee? (Other),Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Gender (please specify),Marital Status,Household Income,Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
1r2Q0M,RDjRqK,10/21/23 17:52,45-54 years old,92116,2,At home,TRUE,FALSE,FALSE,FALSE,FALSE,"Pour over, French press, Other",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Aeropress ,,,,,,,,,Latte,,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bright,Medium,Medium,Full caffeine,3,2,4,3,"Mild caramel
Earthy
Savory",3,2,3,Mild neutral coffee flavor,3,3,2,Mild,2,2,5,"Berry scent
Grassy taste",Coffee B,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, It makes me go to the bathroom, I need the caffeine",TRUE,TRUE,FALSE,TRUE,FALSE,,Yes,Yes,$10-$15,$6-$8,Yes,$500-$1000,Yes,Male,,Single,"$150,000 or more",Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
GrBOO2,PzrlJB,10/21/23 17:52,35-44 years old,98470,3,At home,TRUE,FALSE,FALSE,FALSE,FALSE,Pour over,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,Pourover,,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweet,Medium,Light,Full caffeine,8,2,4,4,"Stone Fruit
Semi-sweet Chocolate
Medium botter",4,1,3,"Full bodied
Desertt coffee. 
Middle smokey. ",4,4,2,"Baking chocolate
Tabacco  
Thin boddy",1,5,5,"Tropical fruit and strawberries
Oddly silky? ",Coffee A,Coffee A,Coffee D,I primarily work from home,$20-$40,It tastes good,TRUE,FALSE,FALSE,FALSE,FALSE,,Yes,Yes,$10-$15,$10-$15,Yes,"More than $1,000",Yes,Male,,Married,"$100,000 - $149,999",Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Democrat
jB98V6,RDjR94,10/21/23 17:52,35-44 years old,10025,1,"At home, On the go",TRUE,FALSE,TRUE,FALSE,FALSE,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,Pourover,,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer",FALSE,TRUE,TRUE,FALSE,FALSE,,Half and half,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Granulated Sugar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Floral,Very strong,Medium,Half caff,8,2,3,3,,3,2,4,,2,2,3,,2,3,4,,Coffee B,Coffee D,Coffee D,I primarily work from home,$20-$40,"I need the ritual, It tastes good, I need the caffeine",TRUE,TRUE,TRUE,FALSE,FALSE,,Yes,Yes,$6-$8,,Yes,$100-$300,Yes,Male,,Married,"$150,000 or more",Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
QABNpg,VzNV7j,10/21/23 17:52,18-24 years old,60546,3,"At home, At the office",TRUE,TRUE,FALSE,FALSE,FALSE,"French press, Pour over",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,Pourover,,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full Bodied,Somewhat strong,Medium,Full caffeine,6,2,4,3,Squash,3,2,3,Light feel almost sweet,5,3,4,Milk chocolate and nutty,1,4,3,"Banana, esters like in a Jamaican rum",Coffee C,Coffee A,Coffee C,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",TRUE,TRUE,TRUE,FALSE,FALSE,,Yes,Yes,$10-$15,$15-$20,Yes,$500-$1000,Yes,Male,,Single,"Under $25,000",Master's degree,White/Caucasian,,Student,None,Democrat
DVvR6j,8ZrGlz,10/21/23 17:52,25-34 years old,11101,2,At home,TRUE,FALSE,FALSE,FALSE,FALSE,"Espresso, Pour over, Coffee extract (e.g. Cometeer)",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,Cortado,,"Milk, dairy alternative, or coffee creamer, No - just black",TRUE,TRUE,FALSE,FALSE,FALSE,,Whole milk,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,Fruity,Medium,Light,Full caffeine,6,3,4,2,,2,3,3,,2,2,3,"Nutty, balanced",1,4,4,"Fruity, jammy, apples, bright citrus",Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the ritual",TRUE,FALSE,TRUE,FALSE,FALSE,,Yes,Yes,$15-$20,$15-$20,No,"More than $1,000",Yes,Male,,Married,"$150,000 or more",Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
xdN8q9,0ekL9j,10/21/23 17:53,25-34 years old,55901,1,At home,TRUE,FALSE,FALSE,FALSE,FALSE,Pour over,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,Pourover,,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bright,Somewhat strong,Light,Full caffeine,6,1,4,4,,2,4,3,,3,3,3,,2,4,4,,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,"It tastes good, I need the caffeine",TRUE,TRUE,FALSE,FALSE,FALSE,,Yes,Yes,$4-$6,$8-$10,No,$50-$100,Yes,Female,,Married,"$150,000 or more",Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
xdN8W9,o2zojx,10/21/23 17:53,25-34 years old,77058,2,At home,TRUE,FALSE,FALSE,FALSE,FALSE,Pour over,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,Pourover,,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Medium,Light,Full caffeine,5,2,4,5,,4,1,2,,3,3,3,,2,5,4,,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,It tastes good,TRUE,FALSE,FALSE,FALSE,FALSE,,Yes,Yes,$15-$20,$8-$10,No,$300-$500,Yes,Female,,Married,"$100,000 - $149,999",Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
9dJAzX,o2zoXe,10/21/23 17:53,25-34 years old,77316,2,"At home, At the office",TRUE,TRUE,FALSE,FALSE,FALSE,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,Americano,,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutty,Somewhat strong,Medium,Full caffeine,6,5,2,4,,3,5,3,,2,4,5,,2,5,2,,Coffee C,Coffee A,Coffee C,,,,,,,,,,,,,,,,,,,,,,,,,,
rlr8ep,g9zLE4,10/21/23 17:53,>65 years old,46804,4,"At the office, At home, On the go, At a cafe",TRUE,TRUE,TRUE,TRUE,FALSE,"Espresso, Pour over",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Local cafe, Specialty coffee shop",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,Espresso,,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chocolatey,Somewhat strong,Medium,Full caffeine,6,2,4,3,Caramel,4,3,4,,4,5,2,,4,4,2,,Coffee B,Coffee A,Coffee B,I primarily work in person,$20-$40,It tastes good,TRUE,FALSE,FALSE,FALSE,FALSE,,Yes,Yes,$4-$6,$6-$8,Yes,"More than $1,000",Yes,Female,,Married,"$100,000 - $149,999",Master's degree,White/Caucasian,,Employed full-time,3,No affiliation
WApa4L,W8qP4N,10/21/23 17:53,25-34 years old,98031,2,"At home, At the office, On the go, At a cafe",TRUE,TRUE,TRUE,TRUE,FALSE,"Espresso, Cold brew, Pour over",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,"National chain (e.g. Starbucks, Dunkin)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Iced coffee,,"Milk, dairy alternative, or coffee creamer",FALSE,TRUE,FALSE,FALSE,FALSE,,"Oat milk, Whole milk",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,Fruity,Very strong,Blonde,Full caffeine,4,1,2,4,"Fruity, apple or pear",1,1,2,“Coffee”? I couldn’t liken the taste to anything.,1,1,2,“Coffee”? I also couldn’t liken the taste to anything for this one :(,1,1,5,"Loved. Fruity, very berry to me. ",Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the ritual",TRUE,FALSE,TRUE,FALSE,FALSE,,Yes,Yes,$8-$10,$6-$8,Yes,"More than $1,000",Yes,Female,,Married,"$150,000 or more",High school graduate,Asian/Pacific Islander,,Employed full-time,None,Democrat
lNl8pV,GRbLb2,10/21/23 17:53,35-44 years old,80214,2,At home,TRUE,FALSE,FALSE,FALSE,FALSE,French press,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,Latte,,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chocolatey,Medium,Medium,Full caffeine,4,2,3,3,,3,2,4,,3,3,2,,1,4,3,,Coffee B,Coffee A,Coffee B,I primarily work in person,<$20,"I need the caffeine, I need the ritual, It tastes good",TRUE,TRUE,TRUE,FALSE,FALSE,,Yes,Yes,$6-$8,$4-$6,No,$20-$50,Yes,Male,,Single,"$50,000 - $74,999",Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
9dJAbX,a2z0VB,10/21/23 17:53,25-34 years old,75074,2,"At home, At a cafe, On the go",TRUE,FALSE,TRUE,TRUE,FALSE,Pour over,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Specialty coffee shop,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,Pourover,,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juicy,Medium,Light,Full caffeine,7,2,3,2,Bread,1,2,1,Tastes burnt and not so good,3,2,2,Tastes like nothing,1,3,3,"Fruity, maybe grapes",Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",TRUE,TRUE,TRUE,TRUE,FALSE,,Yes,Yes,$10-$15,More than $20,No,$300-$500,Yes,Female,,Divorced,"$75,000 - $99,999",Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
zKQ8A1,W8qPbe,10/21/23 17:53,25-34 years old,1960,2,"At the office, At home, On the go",TRUE,TRUE,TRUE,FALSE,FALSE,"Pod/capsule machine (e.g. Keurig/Nespresso), Coffee extract (e.g. Cometeer), Espresso, Cold brew",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin), Local cafe",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",FALSE,TRUE,FALSE,FALSE,FALSE,,Whole milk,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,Caramalized,Somewhat strong,Medium,Full caffeine,5,3,1,3,"Velvet finish,  fruitful, caramel  full body",4,4,1,"Burnt, sour, dark chocolate ",1,1,5,"Light, cherry, dark chocolate ",2,4,3,"Wine, apricot, grape , full body",Coffee C,Coffee A,Coffee C,I primarily work in person,<$20,"It tastes good, I need the caffeine, I need the ritual",TRUE,TRUE,TRUE,FALSE,FALSE,,Yes,No,$4-$6,$4-$6,Yes,$50-$100,No,Female,,Married,"$75,000 - $99,999",Some college or associate's degree,White/Caucasian,,Employed full-time,None,Independent
QABNP1,W8qPyN,10/21/23 17:54,35-44 years old,1966,2,At home,TRUE,FALSE,FALSE,FALSE,FALSE,"Coffee extract (e.g. Cometeer), Pour over",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,Other,Hot black coffee,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floral,Very strong,Medium,Full caffeine,2,2,4,2,Tart,2,3,3,Bold,2,2,2,Muted ,2,3,4,Lovely,Coffee B,Coffee D,Coffee D,I primarily work from home,<$20,It tastes good,TRUE,FALSE,FALSE,FALSE,FALSE,,Yes,No,$8-$10,$8-$10,No,"More than $1,000",Yes,Female,,Married,"$100,000 - $149,999",Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,
pLPYEE,xJz2Lk,10/21/23 17:54,35-44 years old,22901,Less than 1,At home,TRUE,FALSE,FALSE,FALSE,FALSE,"Pour over, Cold brew, Other",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Aeropress,,,,,,,,,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",FALSE,TRUE,TRUE,FALSE,FALSE,,Almond milk,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Granulated Sugar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Full Bodied,Weak,Medium,Half caff,4,2,3,4,Light; small fragrance that I like,5,1,1,Don’t like,4,1,2,Burnt,2,4,3,"Lemony, bright",Coffee A,Coffee A,Coffee A,I primarily work from home,<$20,It tastes good,TRUE,FALSE,FALSE,FALSE,FALSE,,Yes,Yes,$6-$8,$8-$10,No,$20-$50,Yes,,,,,,,,,,
GrBOMQ,4KOLZX,10/21/23 17:54,35-44 years old,40204,2,"At home, At a cafe",TRUE,FALSE,FALSE,TRUE,FALSE,"Coffee brewing machine (e.g. Mr. Coffee), Pour over",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,Cortado,,"Milk, dairy alternative, or coffee creamer",FALSE,TRUE,FALSE,FALSE,FALSE,,Whole milk,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,Full Bodied,Medium,Light,,6,2,3,2,"Musty, nutty",2,3,2,Cinnamon ,3,3,5,"Warm fruit pie, buttery",3,4,4,Cherry,Coffee C,Coffee D,Coffee B,I primarily work from home,$20-$40,"I need the caffeine, I need the ritual, It makes me go to the bathroom, It tastes good",TRUE,TRUE,TRUE,TRUE,FALSE,,Yes,Yes,$6-$8,$6-$8,Yes,$100-$300,Yes,Male,,Living with a partner,"$150,000 or more",Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
RzBqpQ,O7ELRR,10/21/23 17:54,25-34 years old,92831,2,At home,TRUE,FALSE,FALSE,FALSE,FALSE,"Pour over, Espresso",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,Espresso,,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juicy,Medium,Nordic,Full caffeine,5,2,4,4,"Light citrus, red fruit, better once cooled",3,2,2,"Heavy, silky, almost dark chocolate but muddier",2,3,3,Silky and round,1,5,5,"Tea like, almost like a fruity earl grey.",Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,It tastes good,TRUE,FALSE,FALSE,FALSE,FALSE,,Yes,Yes,$6-$8,$8-$10,No,"More than $1,000",Yes,Male,,Married,"$100,000 - $149,999",High school graduate,Hispanic/Latino,,Employed full-time,None,No affiliation
24x9MM,MEVLop,10/21/23 17:54,18-24 years old,32526,1,At home,TRUE,FALSE,FALSE,FALSE,FALSE,Cold brew,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,Cold brew,,Sugar or sweetener,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,Granulated Sugar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Sweet,Medium,Medium,Full caffeine,5,3,4,2,Sour,3,3,4,Nutty,3,2,3,Chocolate,3,3,4,Fruity ,Coffee B,Coffee D,Coffee D,I primarily work in person,<$20,It tastes good,TRUE,FALSE,FALSE,FALSE,FALSE,,Yes,No,$8-$10,More than $20,No,$100-$300,Yes,Male,,Single,"$25,000 - $49,999",Some college or associate's degree,White/Caucasian,,Employed part-time,None,Republican
7d9rX0,7NEvlA,10/21/23 17:54,25-34 years old,1826,2,At home,TRUE,FALSE,FALSE,FALSE,FALSE,Pour over,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,Pourover,,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juicy,Medium,Light,Full caffeine,7,1,5,4,,3,2,3,,4,3,3,,2,4,5,,Coffee A,Coffee D,Coffee D,I primarily work from home,<$20,"It tastes good, I need the ritual",TRUE,FALSE,TRUE,FALSE,FALSE,,Yes,Yes,$6-$8,$4-$6,No,$100-$300,Yes,Male,,Married,"$100,000 - $149,999",Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
YZz72z,VzNVKg,10/21/23 17:55,18-24 years old,1002,Less than 1,"At a cafe, At home",TRUE,FALSE,FALSE,TRUE,FALSE,Coffee brewing machine (e.g. Mr. Coffee),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,Cappuccino,,"No - just black, Milk, dairy alternative, or coffee creamer",TRUE,TRUE,FALSE,FALSE,FALSE,,Whole milk,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,Nutty,Medium,Medium,Full caffeine,3,1,4,3,"Mango, bright, light",3,2,5,"Marshmallow, caramel, smoke-y, very light",3,3,4,"Orange chocolate, dried fruit, apricot, heavier",2,5,2,"Cranberry, pineapple, fermented, smooth",Coffee B,Coffee A,Coffee B,I primarily work in person,<$20,It tastes good,TRUE,FALSE,FALSE,FALSE,FALSE,,Yes,Yes,$6-$8,$6-$8,Yes,$50-$100,Yes,Other (please specify),Nonbinary woman,Single,"$100,000 - $149,999",Some college or associate's degree,White/Caucasian,,Student,None,Independent
42Nl0b,roYV82,10/21/23 17:55,18-24 years old,93445,2,At home,TRUE,FALSE,FALSE,FALSE,FALSE,Espresso,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,Latte,,"Milk, dairy alternative, or coffee creamer, Flavor syrup",FALSE,TRUE,FALSE,TRUE,FALSE,,"Whole milk, Oat milk",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,Sweet,Medium,Dark,Full caffeine,3,3,2,2,Fruity berry ,4,4,1,Popcorn ,2,4,3,"Nutty, earthy",3,3,4,"Molasses, a little fruty",Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,"It tastes good, It makes me go to the bathroom, I need the ritual, I need the caffeine",TRUE,TRUE,TRUE,TRUE,FALSE,,Yes,Yes,$6-$8,$10-$15,Yes,$500-$1000,Yes,Other (please specify),Male + female,Single,"$25,000 - $49,999",Some college or associate's degree,Black/African American,,Student,None,Democrat
lNl8JX,D7a5QR,10/21/23 17:55,35-44 years old,94598,1,At home,TRUE,FALSE,FALSE,FALSE,FALSE,Espresso,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,Espresso,,"No - just black, Milk, dairy alternative, or coffee creamer",TRUE,TRUE,FALSE,FALSE,FALSE,,Whole milk,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,Chocolatey,Very strong,Medium,Full caffeine,5,3,5,4,toffee apple flavored ,5,1,1,tasted like diner coffee,2,3,5,"nice blend, love well balanced, kind of like espresso",2,4,5,Love how complex / different this tasted. Very similar to A for me. ,Coffee C,Coffee D,Coffee D,I primarily work from home,>$100,I need the ritual,FALSE,FALSE,TRUE,FALSE,FALSE,,Yes,Yes,$10-$15,$6-$8,No,"More than $1,000",Yes,Male,,Married,"$150,000 or more",Master's degree,Asian/Pacific Islander,,Unemployed,None,No affiliation
xdN8kd,D7a5lq,10/21/23 17:55,25-34 years old,63105,Less than 1,At a cafe,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,Latte,,"Milk, dairy alternative, or coffee creamer",FALSE,TRUE,FALSE,FALSE,FALSE,,Whole milk,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,Sweet,Medium,Light,Half caff,3,2,4,5,Most like tea,3,2,1,Bland,3,3,2,"Mushroom, this is what I think about when I think ""coffee""",4,4,3,"Bright, cherry, fruity, tangy",Coffee A,Coffee A,Coffee A,I primarily work from home,<$20,It tastes good,TRUE,FALSE,FALSE,FALSE,FALSE,,Yes,No,$8-$10,$15-$20,No,$20-$50,Yes,Female,,Married,"$100,000 - $149,999",Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
VZ1WWE,qRzO8g,10/21/23 17:55,35-44 years old,75248,1,At home,TRUE,FALSE,FALSE,FALSE,FALSE,"Pour over, French press, Cold brew, Other",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Aeropress,,,,,,,,,Pourover,,No - just black,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caramalized,Somewhat strong,Medium,Full caffeine,8,3,4,4,"Cocoa, roasty, more complex as it cools, caramel, apple tart, more sour as it cools, would be fantastic iced",4,3,3,"Much more roasty, bit smoky, peanut, as it cools marshmallow and molasses stick out but also cereal",2,4,5,"Vanilla, dark chocolate, dried fruit, sweeter as it cools, best mouthfeel, most balanced, and overall favorite ",3,5,2,"I don't dislike fermenty-funky, but this is a bit much, raspberry, sweet fruit, slight milk chocolate, natural, would have guessed it was Ethiopian, more complex and longer evolution/better finish as it cools, but still funkier than I prefer",Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",TRUE,TRUE,FALSE,FALSE,FALSE,,Yes,Yes,$8-$10,$8-$10,No,$50-$100,Yes,Male,,Married,"$100,000 - $149,999",Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Democrat
